B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              difference
 537                40.5                45.37069            40.53377            43.70464            41.92346            40.81013           -4.870689 
 536.95             43                  45.35561            40.39846            43.6552             41.81818            40.67915           -2.355614 
 536.9              36.75               45.34515            40.26322            43.60929            41.71395            40.54834           -8.595154 
 536.85             40                  45.33957            40.12791            43.56711            41.61071            40.41758           -5.339573 
 536.8              40.5                45.33889            39.99262            43.52869            41.50851            40.28694           -4.838894 
 536.75             42.5                45.34354            39.85736            43.49437            41.40745            40.15644           -2.843536 
 536.7              40                  45.35381            39.72215            43.46441            41.30759            40.0261            -5.353813 
 536.65             37.25               45.37               39.58696            43.43903            41.20898            39.89591           -8.120003 
 536.6              39.5                45.39257            39.45174            43.41859            41.11164            39.76582           -5.89257 
 536.55             39.25               45.4215             39.31652            43.40311            41.01559            39.63585           -6.171501 
 536.5              40.25               45.4574             39.18132            43.39307            40.92095            39.50602           -5.207397 
 536.45             40.75               45.50066            39.04615            43.3888             40.82779            39.37637           -4.750656 
 536.4              37.5                45.55173            38.91101            43.39069            40.73618            39.24689           -8.051731 
 536.35             35.25               45.6113             38.77587            43.39925            40.64622            39.11755           -10.3613 
 536.3              42                  45.67933            38.64066            43.41453            40.55783            38.9883            -3.679329 
 536.25             40.25               45.75677            38.50553            43.43729            40.47126            38.85928           -5.506767 
 536.2              44.5                45.84418            38.37043            43.46802            40.38658            38.73045           -1.344181 
 536.15             38.25               45.94233            38.23547            43.50738            40.30397            38.60192           -7.692333 
 536.1              47.5                46.05214            38.10051            43.55611            40.22347            38.47358            1.447857 
 536.05             40.5                46.174              37.96573            43.61464            40.14523            38.34559           -5.674004 
 536                51.5                46.30898            37.831              43.68383            40.06931            38.21784            5.191025 
 535.95             44.25               46.45825            37.69654            43.76475            39.99603            38.09055           -2.208248 
 535.9              42.75               46.62279            37.5622             43.85824            39.92538            37.96358           -3.872791 
 535.85             47.75               46.80422            37.42797            43.96566            39.85757            37.83694            0.9457817 
 535.8              39.5                47.00319            37.29394            44.08772            39.79266            37.71069           -7.503185 
 535.75             45.5                47.22145            37.15996            44.22589            39.73075            37.58472           -1.721451 
 535.7              54.5                47.46082            37.02613            44.38183            39.67211            37.45914            7.039185 
 535.65             47.25               47.72334            36.89264            44.55738            39.6171             37.33414           -0.4733353 
 535.6              46.75               48.01151            36.75935            44.75474            39.56588            37.20959           -1.261509 
 535.55             54.25               48.32664            36.62625            44.97521            39.51844            37.08549            5.923363 
 535.5              46.75               48.67196            36.49348            45.22169            39.47524            36.96198           -1.921963 
 535.45             47                  49.05025            36.3609             45.4967             39.4364             36.83896           -2.050247 
 535.4              54                  49.46468            36.22853            45.80314            39.40217            36.71643            4.535324 
 535.35             45                  49.91965            36.0965             46.145              39.37309            36.59455           -4.919647 
 535.3              43.5                50.41745            35.96463            46.52452            39.34905            36.47314           -6.91745 
 535.25             50                  50.96299            35.83291            46.94613            39.33047            36.35221           -0.9629898 
 535.2              54.75               51.56104            35.70146            47.41423            39.31783            36.2319             3.188961 
 535.15             49.5                52.21669            35.57037            47.93352            39.31161            36.1123            -2.71669 
 535.1              56                  52.93638            35.43954            48.50981            39.31229            35.99335            3.063622 
 535.05             55.25               53.72398            35.30909            49.14685            39.32014            35.87517            1.526024 
 535                60.5                54.58672            35.17902            49.85117            39.33583            35.75776            5.91328 
 534.95             57.25               55.53132            35.04943            50.62891            39.36               35.64126            1.718681 
 534.9              60.75               56.56472            34.92025            51.48637            39.39323            35.52562            4.185284 
 534.85             63                  57.69589            34.79155            52.43156            39.43649            35.41094            5.304108 
 534.8              64.75               58.92944            34.66338            53.46877            39.49018            35.29725            5.820557 
 534.75             59.5                60.27473            34.53577            54.60622            39.55541            35.18464           -0.7747307 
 534.7              68                  61.73973            34.40863            55.85089            39.63307            35.07302            6.260265 
 534.65             73.75               63.33274            34.28211            57.20995            39.72442            34.9626             10.41726 
 534.6              61.25               65.06439            34.15633            58.69245            39.83111            34.85351           -3.814392 
 534.55             64.75               66.938              34.03106            60.30084            39.95375            34.74552           -2.188004 
 534.5              73.75               68.96362            33.90636            62.04328            40.09431            34.63874            4.786385 
 534.45             82.75               71.14886            33.7824             63.9255             40.25478            34.53338            11.60114 
 534.4              81.25               73.50069            33.65935            65.95235            40.43741            34.42963            7.749306 
 534.35             81                  76.02837            33.53719            68.13022            40.64497            34.32755            4.971634 
 534.3              74                  78.73006            33.41591            70.45546            40.87931            34.22711           -4.730057 
 534.25             91.25               81.61182            33.29538            72.93061            41.14374            34.12824            9.638176 
 534.2              99.5                84.6748             33.17593            75.55336            41.442              34.03131            14.8252 
 534.15             97.5                87.91714            33.05772            78.31796            41.77809            33.93653            9.582855 
 534.1              85.75               91.33752            32.9407             81.21809            42.1569             33.84394           -5.587517 
 534.05             90.25               94.91681            32.82467            84.23103            42.5818             33.75331           -4.666809 
 534                100                 98.64333            32.7097             87.33917            43.05874            33.66483            1.356667 
 533.95             96.75               102.4946            32.59599            90.51408            43.59372            33.57872           -5.744553 
 533.9              99.25               106.4398            32.48346            93.71873            44.19302            33.49499           -7.189835 
 533.85             110.5               110.445             32.37218            96.91094            44.86456            33.41381            5.504608E-02 
 533.8              106.75              114.4517            32.26234            100.027             45.61401            33.33538           -7.701668 
 533.75             116                 118.4077            32.15389            103.0057            46.45007            33.25974           -2.407715 
 533.7              125.75              122.2487            32.047              105.7743            47.38116            33.18717            3.501328 
 533.65             125.25              125.9053            31.94184            108.2549            48.41608            33.11793           -0.6552582 
